awarding_agency_name,year,total_outlayed_amount,normalized_funding
Agency for International Development,2020,1614248.0543686869,1.0
Agency for International Development,2021,4744755.480637065,2.9392976301233222
Agency for International Development,2022,5113064.655361408,3.167459078871907
Agency for International Development,2023,9335476.017680323,5.783173157567358
Agency for International Development,2024,20815464.356151436,12.894836267460837
Appalachian Regional Commission,2020,273693.85125,1.0
Appalachian Regional Commission,2021,158169.5344680851,0.5779067879884828
Appalachian Regional Commission,2022,279249.4092948718,1.0202984393675587
Appalachian Regional Commission,2023,297092.165,1.0854908272258819
Appalachian Regional Commission,2024,339794.37,1.24151261874576
Consumer Product Safety Commission,2021,159769.745,
Consumer Product Safety Commission,2022,172355.864,
Consumer Product Safety Commission,2023,117996.44714285713,
Consumer Product Safety Commission,2024,240303.36,
Corporation for National and Community Service,2020,60786.651750000005,1.0
Corporation for National and Community Service,2021,103773.9284375,1.7071828345521596
Corporation for National and Community Service,2022,386953.3119512195,6.365761245456647
Corporation for National and Community Service,2023,1022457.9887694482,16.82043605518128
Corporation for National and Community Service,2024,1176284.992032136,19.351041029038683
Delta Regional Authority,2020,105769.136,1.0
Delta Regional Authority,2022,120319.06307692308,1.1375630701656019
Denali Commission,2020,,
Denali Commission,2021,190650.9875,
Denali Commission,2022,406253.5023809524,
Denali Commission,2023,1238913.0531249999,
Denali Commission,2024,612495.3565,
Department of Agriculture,2020,391139.4321224227,1.0
Department of Agriculture,2021,1774781.091678879,4.5374639985758085
Department of Agriculture,2022,2114409.295070334,5.405768688666872
Department of Agriculture,2023,6572309.278360042,16.80298312726234
Department of Agriculture,2024,11273834.625565732,28.823058223485727
Department of Commerce,2020,725558.9995327103,1.0
Department of Commerce,2021,711491.3644295302,0.9806113147073633
Department of Commerce,2022,457599.9775889967,0.630686102555009
Department of Commerce,2023,205998.73786407767,0.28391728032696073
Department of Commerce,2024,625524.3915479116,0.8621275347018986
Department of Defense,2020,26338.15,1.0
Department of Defense,2021,32096.43528428094,1.2186290716804686
Department of Defense,2022,144311.84346604216,5.479194380244708
Department of Defense,2023,299806.5307142857,11.382976052391138
Department of Defense,2024,916143.5221840874,34.78389796489455
Department of Education,2020,3968047.158720837,1.0
Department of Education,2021,18685241.936588544,4.708926378438513
Department of Education,2022,12209761.17702384,3.0770201786008635
Department of Education,2023,4706060.480971018,1.1859890502128234
Department of Education,2024,3656583.1304780478,0.921506974140097
Department of Energy,2020,333825.5412087912,1.0
Department of Energy,2021,505742.4039823009,1.5149901417099307
Department of Energy,2022,731150.548556701,2.1902175187350417
